Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
Entering_6d68c811	All	важаемый, Олег Степанович, а как у вас проходила студенческая жизнь, а то у нас ещё и сессия не началась или как она тут называется, а мы уже устали учиться.	game/script.rpy	5	All "[what]"
Entering_bd2705bf	All	ХОРОШО	game/script.rpy	9	All "[what]"
Entering_cb81083a	All	КОНЕЧНО	game/script.rpy	10	All "[what]"
Entering_35e4d605	All	УРА	game/script.rpy	11	All "[what]"
WAKE_UP_SAMURAI_e739933c	gg	Да емаё, почему я не завёл несколько будильников? Нужно спешить в универ! не слишком-то хочется опоздать в первый день...	game/script.rpy	33	gg "[what]"
Waiting_Bus_b0feaf6d	gg	Надеюсь я успею	game/script.rpy	43	gg "[what]"
Forward_UrFU_d047413b	gg	*Так, и где мои одногруппники*	game/script.rpy	54	gg "[what]"
Forward_UrFU_66d58a09	Kabak	Олежи, ты чуть не опоздал на первое сентября	game/script.rpy	66	Kabak "[what]"
Forward_UrFU_2c73c7ed	gg	Извините пожалуйста, будильник не сработал	game/script.rpy	68	gg "[what]"
Forward_UrFU_8dcc23f4	Kabak	Я надеюсь такого не повториться	game/script.rpy	70	Kabak "[what]"
Forward_UrFU_8bc7e327	Kabak	верно ведь говорю?	game/script.rpy	72	Kabak "[what]"
Forward_UrFU_94e81b0c	gg	Да, конечно, этого больше не повториться, мамой клянусь	game/script.rpy	74	gg "[what]"
Forward_UrFU_67808f2a	Kabak	Вот и отлично	game/script.rpy	76	Kabak "[what]"
Studik_for_everyone_ae0521ea	gg	Не. Всё-таки красивые у нас студики	game/script.rpy	93	gg "[what]"
Profsoyz_efb8d3c3	Kris	Внимание все, сейчас будет информация про проф союз.	game/script.rpy	108	Kris "[what]"
Profsoyz_2bfae50d	voice	Так что, вступаем?	game/script.rpy	116	voice "[what]" nointeract
Profsoyz_choise_yes_e4d2d045	gg	Думаю от этого хуже не будет	game/script.rpy	123	gg "[what]"
Prof_chos_NO_NO_06012ed7	gg	Да ну его. Какой мне от этого смысл	game/script.rpy	136	gg "[what]"
scene1_58549f48	Kabak	Ну мы всё вам всё в принципе рассказали	game/script.rpy	147	Kabak "[what]"
scene1_2bb7c3f7	Kris	А теперь идём на ВАШ первый в Уральском федеральном университете фестиваль	game/script.rpy	149	Kris "[what]"
scene1_af09aa61	gg	Ого уже вечер. Ладно пацаны я пойду, бывайте	game/script.rpy	162	gg "[what]"
scene1_356bf55f	gg	Мда....	game/script.rpy	167	gg "[what]"
scene1_6f09795c	gg	Чую будет весело	game/script.rpy	169	gg "[what]"
scene1_69f881fb	gg	Ладно. Учёба учёбой, а дота по расписанию	game/script.rpy	171	gg "[what]"
scene1_8c930b81		Спустя одну слитую катку	game/script.rpy	179	"[what]"
scene1_2c2ba358	gg	Ладно завтра на учёбу, лучше легу спать	game/script.rpy	184	gg "[what]"
modeusHelp_171a37b3	gg	Черт, сегодня выбор в каком-то модеусе	game/script.rpy	203	gg "[what]"
modeusHelp_2f057ae3	gg	Хммм, может мне следует подготовиться? 	game/script.rpy	205	gg "[what]"
Sex_02df4f09	gg	Думаю стоит написать Максу	game/script.rpy	215	gg "[what]"
Sex_9789fd63	gg	Надеюсь он сможет мне помочь	game/script.rpy	217	gg "[what]"
Sex_7cb121ce		Текст в переписке	game/script.rpy	224	"[what]"
Sex_2aea2ded	gg	Здарова, Макс, подсабишь с модеусом заморским	game/script.rpy	226	gg "[what]"
Sex_312566b2	Kabak	Привет, да помогу, не проблема	game/script.rpy	228	Kabak "[what]"
Sex_46f89c1d	Kabak	На главной странице ты сможешь выбрать себе расписание и, как не странно, смотреть свое расписание 	game/script.rpy	233	Kabak "[what]"
Sex_5efddf08	Kabak	Во время выбора тебе будет предоставлена возможность выбрать преподавателя и время, для комфортной учебы.	game/script.rpy	235	Kabak "[what]"
Sex_25824997	Kabak	Также, щас я скину тебе плюшку, чтоб ты понимал какие учителя могут задушить, а какие нет.	game/script.rpy	240	Kabak "[what]"
Sex_b192c712		Тебе пришёл ворд документ от Кабака, радуйся	game/script.rpy	244	"[what]"
Sex_9c70d97c	gg	Емаё, спасибо Максимка	game/script.rpy	246	gg "[what]"
Sex_1c171256	Kabak	Удачи на голодных играх)))	game/script.rpy	248	Kabak "[what]"
Sex_5f78343d	gg	Думаю надо заранее составить расписание	game/script.rpy	253	gg "[what]"
noSex_244e236c	gg	Ну что пацаны, время турбо войнов	game/script.rpy	264	gg "[what]"
noSex_9f4bc067	gg	Ладно ребятки, у меня щас какой-то там модеус. Скоро вернусь	game/script.rpy	277	gg "[what]"
ModeusChoosing_68b1001c		На часах 23:55	game/script.rpy	291	"[what]"
ModeusChoosing_6e721f29	gg	Осталась всего 5 минут	game/script.rpy	293	gg "[what]"
ModeusChoosing_96929840		Спустя 4 минуты и 57 секунд	game/script.rpy	295	"[what]"
ModeusChoosing_b7ef953f	gg	23:59:57.....58.....59......00:00:00	game/script.rpy	297	gg "[what]"
ModeusChoosing_0b6db42e	gg	Пора	game/script.rpy	299	gg "[what]"
Turn_8cd27aea	gg	Чёртовы пробки, не успеваю	game/script.rpy	324	gg "[what]"
Turn_2d1902fa	Fahta	А ну-ка стой! Предъяви свой студенческий билет!	game/script.rpy	328	Fahta "[what]"
Turn_26fdb1b0	gg	Блин, где этот студик	game/script.rpy	331	gg "[what]" nointeract
TurnGood_3e853616	gg	Вот, держите	game/script.rpy	339	gg "[what]"
TurnGood_fe760723	Fahta	А, первокурсник, ну хорошо, проходи.	game/script.rpy	343	Fahta "[what]"
TurnGood_e6d9fc8d	Fahta	В следующий раз доставай студенческий заранее, чтобы других не задерживать	game/script.rpy	345	Fahta "[what]"
TurnGood_429a6575	gg	Хорошо, учту	game/script.rpy	347	gg "[what]"
TurnBad_2e5510dc	gg	*Мцц.., буду еще время тратить, быстро пробегу и затеряюсь в толпе*	game/script.rpy	361	gg "[what]"
TurnBad_f6143a25	Fahta	А ну СТООЙ!!!	game/script.rpy	367	Fahta "[what]"
TurnBad_5dc43db8	Fahta	А ну ка пройдем со мной в деканат на разъяснительную беседу	game/script.rpy	369	Fahta "[what]"
TurnBad_27f17f45	gg	Извините пожалуйста, я просто опаздывал на пару, я только первый день...	game/script.rpy	371	gg "[what]"
TurnBad_624c969e	Fahta	Первый, не первый, мне все-равно, пошли	game/script.rpy	373	Fahta "[what]"
Dinner_593784f8	gg	*Щас большак, время есть. Может сходить пообедать?*	game/script.rpy	398	gg "[what]"
Dinner_cd3eb11d	gg	*Что бы выбрать*	game/script.rpy	406	gg "[what]" nointeract
Butter_70d0db09	gg	Ладно бутеры с чайком пойдут	game/script.rpy	414	gg "[what]"
Obid_f1444a20	gg	Раз время есть, стоит плотненько пообедать	game/script.rpy	420	gg "[what]"
Audit_99853482	Prepod	Здравствуйте, первокурсники, добро пожаловать в лучший институт нашего ВУЗа.	game/script.rpy	435	Prepod "[what]"
Audit_c999d528	Prepod	Отсюда начнется ваша дорога во взрослую и осмысленную жизнь...	game/script.rpy	437	Prepod "[what]"
Audit_491983a6	gg	*Яре яре. Не думал, что программирование, такое интересное! Теперь это будет мой любимый предмет*	game/script.rpy	443	gg "[what]"
Audit_9a814b03	Prepod	На этом занятия окончены, можете быть свободны	game/script.rpy	451	Prepod "[what]"
Audit_1abd9e8b	All	Спасибо, до свидания	game/script.rpy	453	All "[what]"
AfterStuding1_1afd1d72	gg	*Ну вот и закончился мой первый учебный день в Уральском Федеральном университете. Надеюсь, здесь я исполню все свои желания*	game/script.rpy	460	gg "[what]"
Raspisanie_c6bf6c31	gg	Да уж, столько всего по программированию позадавали.	game/script.rpy	480	gg "[what]"
Raspisanie_12b25362	gg	Думал, не успею все вовремя сделать, в следующий раз не буду домашку откладывать, не очень хочется такое повторять	game/script.rpy	482	gg "[what]"
Raspisanie_df520ac3	gg	Так, какие у меня сегодня занятия? Посмотрим	game/script.rpy	487	gg "[what]"
Raspisanie_19373381	gg	Так, история, прога и математика значит.	game/script.rpy	489	gg "[what]"
Raspisanie_a802f88d	gg	Ну, не так все плохо, могло быть и больше пар.	game/script.rpy	491	gg "[what]"
Raspisanie_287cfc2a	gg	Ладно. Let's go, go, GO	game/script.rpy	493	gg "[what]"
Fhod_ee8a55e3	Fahta	Предъяви студенческий.	game/script.rpy	506	Fahta "[what]"
Fhod_a50df294		Вы показываете свой студенческий билет	game/script.rpy	508	"[what]"
Fhod_79e8db94	Fahta	А, так это ты! А где твой электронный пропуск?	game/script.rpy	510	Fahta "[what]"
Fhod_f14ab56d	gg	Какой пропуск?	game/script.rpy	512	gg "[what]"
Fhod_800834d3	Fahta	Электронный пропуск для турникетов где? Нет, значит свободен	game/script.rpy	514	Fahta "[what]"
Fhod_0c9b8fd1	gg	Да подождите! Нам их не выдавали еще	game/script.rpy	516	gg "[what]"
Fhod_6a65efe7	Fahta	Уверен?	game/script.rpy	518	Fahta "[what]"
Fhod_da733d16	gg	Да, посмотрите, я только 1 курс	game/script.rpy	520	gg "[what]"
Fhod_030166f5	Fahta	Хммммммммм.... Ну проходи, не задерживай очередь!	game/script.rpy	524	Fahta "[what]"
History_d22afed4	gg	Ну какая история! Я пришел в ВУЗ, чтобы выучиться на программиста, причем тут история, ладно математика, ладно физ-ра для поддержания образа жизни, но история...	game/script.rpy	535	gg "[what]"
History_da52f8f7	Prepod	А теперь будьте добры ответить на мои вопросы, вы же внимательно меня слушали?	game/script.rpy	537	Prepod "[what]"
History_fbcb00b0	gg	а....	game/script.rpy	539	gg "[what]"
History_7daa7d42	Prepod	Итак, первый вопрос...	game/script.rpy	541	Prepod "[what]"
History_56eb46ac	gg	Что же мне делать?	game/script.rpy	543	gg "[what]"
History_ea644040	gg	Фух, вроде бы прокатило. Все-таки придется учить историю, если захочу хорошую оценку	game/script.rpy	557	gg "[what]"
Progaday3_80b93e34	Prepod	Уважаемые студенты, сегодня помимо обычной лекции мы напишем небольшой тест, чтобы закрепить ваши знания.	game/script.rpy	567	Prepod "[what]"
